pp,Age,Gender,Speed 1 (OFF),Speed 2 (ON),Speed 3 (OFF),Speed 4 (ON),Speed 5 (OFF),Speed 6 (ON),Speed 7 (OFF),Speed 8 (ON),Speed 9 (OFF),Speed 10 (ON),Speed 11 (OFF),Speed 12 (ON),Speed 13 (OFF),Speed 14 (ON),Speed 15 (OFF),Speed 16 (ON),Speed 17 (OFF),Speed 18 (ON),Move Raw Avg,Move Norm Diff,Avg Text Rat,Rat Norm OFF,Rat Norm ON,Rat Norm Diff,Years Music,Music Hours,Years Dance,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Enjoyment,Body Feel,Sensation,Sensation Frequency,Sensation Compare,Movement Rating,Sensation Compulsion,Sensation Pleasantness,Loudness Preference
33,40,Female,61.06136596,73.57245532,53.06326482,115.0213703,105.1288505,132.042179,133.4730665,83.44489454,93.83095837,136.1517109,120.8216907,134.1426248,83.17079613,121.5536541,116.3878555,96.22273919,51.59714072,86.33722436,99.8347,0.1780,5,0.6,1.4,0.8,3,0,0,13,12,12,5,13,6,8,"in my chest,in my feet",1,5,7,8,6,5
34,45,Male,160.3927312,120.351058,164.2869105,209.566026,223.6178008,194.9704216,,220.0953801,232.486284,200.2506637,211.1666254,228.3057234,134.22305,,,270.48067,135.5541862,123.6606201,188.6272,0.0833,,,,,30,0,25,3,3,9,5,14,,,,,,,9,9,7
35,24,Female,167.4785258,155.1264926,206.0578746,196.760092,206.4231895,167.5324696,190.6897701,183.9009314,216.0752734,289.8493819,248.0072661,265.0844568,222.9573856,281.4176999,241.54243,239.4169359,174.0278355,173.4890237,212.5465,0.0415,,,,,17,5,0,14,9,12,4,13,8,8,"My feet,head,hips",1,5,7,8,9,8
36,23,Male,206.8629507,286.4963418,302.6372365,361.649213,307.927337,198.7344262,191.1622404,220.5757708,252.99766,475.078957,288.476346,365.3460837,257.8958094,512.1230782,254.8300356,,107.4537455,137.1839918,278.0842,0.2823,6.5,1.0769,0.9231,-0.1538,15,2,0,4,7,9,9,13,7,4,medial geniculate nucleus,3,5,7,7,8,6
37,34,Male,85.38207664,49.01717233,43.13385091,52.99565544,,,,,,,,,,,,,,,57.6322,-0.2299,,,,,20,2,10,8,11,13,4,12,9,4,,5,2,3,3,5,5
38,30,Male,,,,,,,36.52079341,259.0933319,258.476127,543.3648002,338.4656465,,264.7705402,,,,,,283.4485,0.6233,,,,,8,1.5,15,5,10,11,7,14,9,7,sub bass was good but I've had better,3.5,5,9,2,5,5
39,56,Male,622.8567179,675.5575881,620.9072876,662.3101575,562.0096939,299.9089763,556.6535232,438.8810882,530.4510905,648.9568434,298.9708962,496.161302,445.2027622,,524.0777592,413.8075214,172.6283999,288.6740384,485.7656,0.0185,,,,,40,2,40,13,8,6,8,13,9,9,"Head,feet",1,6,9,8,8,5
40,35,Male,66.47458106,82.34298463,78.52741098,,82.55175795,,57.35277156,,45.40409908,,74.31762606,86.63585705,52.8157937,69.33838941,57.17061069,84.941351,79.29966681,,70.5518,0.2101,7.75,0.9677,1.0323,0.0645,25,0,0,7,9,11,5,12,8,7,overall vibrations,2,6,2,,,
41,44,Male,112.4826523,96.31711476,,120.9164835,137.9114261,127.2129617,62.41310051,,89.36361788,167.3236607,108.2713555,,,103.9972535,150.7345086,109.0054755,81.65981265,119.4282536,113.3598,0.1277,7.75,1.0323,0.9677,-0.0645,6,0,0,9,9,12,7,11,6,6,"chest,feet",1,3,5,9,9,8
42,36,Female,,122.7692556,88.45088842,,,,,123.5513558,51.60577043,,102.9412112,133.5499254,93.20554783,106.0413467,,,,,102.7644,0.3642,7,1.0000,1.0000,0.0000,,,,7,12,12,6,10,7,8,vibration-legs/head,2,6,4,7,8,5
43,30,Male,,,,,,,,,124.4868767,,141.1107062,175.9637123,134.4657681,154.0998076,145.1784747,130.3939267,111.5795597,,139.6599,0.1584,,,,,,,,5,9,11,5,9,,,,,,,9,9,7
44,26,Female,,,,,,,,,,,,,,,,,,,,,7,1,1,0,20,1,0,6,11,10,10,11,5,6,"Head,Chest",2,5,3,6,6,5
45,20,Female,,,,,,,,,,,,,,,,,,,,,,,,,13,1,0,5,8,11,9,9,3,4,"Vibration in my feet, Strong beat in my mind",2,2,4,6,5,8
46,30,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,11,8,14,7,5,mildly,5,3,5,8,9,8
47,34,Female,,,,,,,,,,,,,,,,,,,,,8.35,0.9581,1.0419,0.0838,5,5,30,13,9,9,8,13,,,,,,,3,5,5
48,52,Female,,,,,,,,,,,,,,,,,,,,,7.25,0.9655,1.0345,0.0690,0,0,1,6,14,8,5,9,6,9,Hips/feet/head,3,6,3,2,2,8
49,18,Female,,,,,,,,,,,,,,,,,,,,,1.75,1.1429,0.8571,-0.2857,12,7,4,2,7,11,12,11,1,9,"Vibrations in chest,feet",1,5,2,5,5,5
50,60,Female,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,4,13,12,9,4,7,8,vibrations throughout,1,8,4,,,
51,65,Male,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0,8,8,7,7,12,9,7,slight vibration?may hum.,2,5,3,,,7
52,54,Male,,,,,,,,,,,,,,,,,,,,,,,,,21,0,0,7,12,10,5,12,3,8,"sometimes chest,whole body earlier in 1st set",5,1,3,9,9,6
53,47,Female,,,,,,,,,,,,,,,,,,,,,,,,,0,0,14,11,8,7,4,12,9,9,"organic,calming,meditative",,7,5,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10,5,10,9,8,12,,,,,,,9,9,5
55,43,Male,,,,,,,,,,,,,,,,,,,,,,,,,30,0,43,5,9,9,5,11,6,6,Chest,2,5,2,,6,5
56,27,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,14,8,12,8,7,Intense on the head asnd core,7,8,6,,,
57,36,Male,,,,,,,,,,,,,,,,,,,,,,,,,10,8,0,8,8,10,5,12,,,,,,,6,5,8
58,20,Female,,,,,,,,,,,,,,,,,,,,,,,,,11,6,6,6,6,12,8,8,3,6,In my mind,1,3,6,,,
59,49,Male,,,,,,,,,,,,,,,,,,,,,,,,,30,30,25,11,8,8,6,12,,,,,,,8,7,5
60,32,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,9,3,8,,,,,,,,,
61,48,Male,,,,,,,,,,,,,,,,,,,,,,,,,25,2,0,7,6,8,7,7,7,7,,,5,8,9,9,6
62,52,Female,,,,,,,,,,,,,,,,,,,,,4.25,0.8235,1.1765,0.3529,,,,4,13,7,13,11,2,8,Vibration in body-pain in head-too much intensity,3,,2,,,
